[2023-02-24T17:53:03.508] [WARN] default - /favicon.ico not found
[2023-02-24T17:53:04.685] [WARN] default - /favicon.ico not found
[2023-02-24T17:53:15.067] [WARN] default - /products not found
[2023-02-24T17:53:15.164] [WARN] default - /favicon.ico not found
[2023-02-24T17:53:22.320] [WARN] default - /favicon.ico not found
[2023-02-24T17:53:32.043] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:03.183] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:10.710] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:11.955] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:12.140] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:13.564] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:16.992] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:17.210] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:17.535] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:32.703] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:33.327] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:33.482] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:35.483] [WARN] default - /favicon.ico not found
[2023-02-24T17:54:53.682] [WARN] default - /favicon.ico not found
[2023-02-24T17:55:11.862] [WARN] default - /favicon.ico not found
[2023-02-24T17:55:23.195] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:35.061] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:39.722] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:42.612] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:43.387] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:43.587] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:43.749] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:44.269] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:45.148] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:49.371] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:51.014] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:52.237] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:53.575] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:53.730] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:54.804] [WARN] default - /favicon.ico not found
[2023-02-24T17:56:59.751] [WARN] default - /favicon.ico not found
[2023-02-24T17:57:02.186] [WARN] default - /favicon.ico not found
[2023-02-24T17:57:24.080] [WARN] default - /favicon.ico not found
[2023-02-24T17:57:34.607] [WARN] default - /favicon.ico not found
[2023-02-24T17:57:36.832] [WARN] default - /favicon.ico not found
[2023-02-24T17:57:38.184] [WARN] default - /favicon.ico not found
[2023-02-24T17:57:55.539] [WARN] default - /favicon.ico not found
[2023-02-24T17:57:58.220] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:14.622] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:14.755] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:16.768] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:17.004] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:17.221] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:18.864] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:19.051] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:19.379] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:20.377] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:27.993] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:28.105] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:29.419] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:31.811] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:32.298] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:34.535] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:35.394] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:36.685] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:36.924] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:42.152] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:43.372] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:44.667] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:46.499] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:46.700] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:46.868] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:47.287] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:47.548] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:48.315] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:49.073] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:49.197] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:49.645] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:50.622] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:52.341] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:52.498] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:52.652] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:52.900] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:53.228] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:54.115] [WARN] default - /favicon.ico not found
[2023-02-24T17:58:56.593] [WARN] default - /favicon.ico not found
[2023-02-24T17:59:07.984] [WARN] default - /favicon.ico not found
[2023-02-24T17:59:08.497] [WARN] default - /favicon.ico not found
[2023-02-24T17:59:31.836] [WARN] default - /favicon.ico not found
[2023-02-24T17:59:31.990] [WARN] default - /favicon.ico not found
[2023-02-24T17:59:33.909] [WARN] default - /favicon.ico not found
[2023-02-24T17:59:34.028] [WARN] default - /favicon.ico not found
[2023-02-24T18:01:52.973] [WARN] default - /favicon.ico not found
[2023-02-24T18:01:53.679] [WARN] default - /favicon.ico not found
[2023-02-24T18:01:55.024] [WARN] default - /favicon.ico not found
[2023-02-24T18:01:58.590] [WARN] default - /favicon.ico not found
[2023-02-24T18:01:58.973] [WARN] default - /favicon.ico not found
[2023-02-24T18:02:01.522] [WARN] default - /favicon.ico not found
[2023-02-24T18:02:55.309] [WARN] default - /favicon.ico not found
[2023-02-24T18:02:55.467] [WARN] default - /favicon.ico not found
[2023-02-24T18:02:56.571] [WARN] default - /favicon.ico not found
[2023-02-24T18:02:57.685] [WARN] default - /favicon.ico not found
[2023-02-24T18:02:57.849] [WARN] default - /favicon.ico not found
[2023-02-24T18:02:58.918] [WARN] default - /favicon.ico not found
[2023-02-24T18:03:00.608] [WARN] default - /favicon.ico not found
